PROVEEDOR;REFERENCIA;COP METRO;USD METER;MUESTRARIO;T&C Traje 2P;T&C Traje 3P;T&C Pantalon;T&C Saco ;T&C Chaleco;T&C Camisa L2;PVC Traje 2;PVC Traje 3p;PVC PANTALON;PVC Saco;PVC Camisa;PVC Accesorios;PVP Traje 2P USD;PVP Traje 3P USD;PVP Pantalon USD;PVP Saco USD;PVP Camisa USD;PVP Accesorios USD;;;;;;;
DYSATEX;D49 (TODAS);125664;38,08;DINAMICO;802124,8;1002656;253363,2;548761,6;210531,2;0;2300000;2990000;900000;1725000;;;790;1027;276,5;592,5;0;0;;;;;;;
DYSATEX;D275;117334;35,55575758;BARRINGTON S'120;775468,8;969336;242534,2;532934,6;203867,2;0;2750000;3575000;1237500;2062500;;;1100;1430;385;825;0;0;;;;;;;
DYSATEX;33;166362;50,41272727;BARRINGTON S'120;932358,4;1165448;306270,6;626087,8;243089,6;0;2750000;3575000;1237500;2062500;;;1100;1430;385;825;0;0;;;;;;;
DYSATEX;B19-140;185901;56,33363636;BARRINGTON S'120;994883,2;1243604;331671,3;663211,9;258720,8;0;2750000;3575000;1237500;2062500;;;1100;1430;385;825;0;0;;;;;;;
DYSATEX;B19-180;185901;56,33363636;BARRINGTON S'120;994883,2;1243604;331671,3;663211,9;258720,8;0;2750000;3575000;1237500;2062500;;;1100;1430;385;825;0;0;;;;;;;
DYSATEX;B22-170;185901;56,33363636;BARRINGTON S'120;994883,2;1243604;331671,3;663211,9;258720,8;0;2750000;3575000;1237500;2062500;;;1100;1430;385;825;0;0;;;;;;;
DYSATEX;B28-290;185901;56,33363636;BARRINGTON S'120;994883,2;1243604;331671,3;663211,9;258720,8;0;2750000;3575000;1237500;2062500;;;1100;1430;385;825;0;0;;;;;;;
DYSATEX;B38-250;185901;56,33363636;BARRINGTON S'120;994883,2;1243604;331671,3;663211,9;258720,8;0;2750000;3575000;1237500;2062500;;;1100;1430;385;825;0;0;;;;;;;
DYSATEX;B50;199600;60,48484848;BARRINGTON S'120;1038720;1298400;349480;689240;269680;0;2750000;3575000;1237500;2062500;;;1100;1430;385;825;0;0;;;;;;;
DYSATEX;ART. 49-36 / 50-17;139827;42,37181818;LANIFICIO DE PRAY;0;0;0;575671,3;0;0;;0;;1800000;;;0;0;0;0;0;0;;;;;;;
DYSATEX;ART. 21 / 17-19 / 78;139827;42,37181818;LANIFICIO DE PRAY;0;0;0;575671,3;0;0;;0;;1800000;;;0;0;0;0;0;0;;;;;;;
DYSATEX;ART. 52;156086;47,29878788;LANIFICIO DE PRAY;0;0;0;606563,4;0;0;;0;;1800000;;;0;0;0;0;0;0;;;;;;;
DYSATEX;ART. 42-2817;167342;50,70969697;LANIFICIO DE PRAY;0;0;0;627949,8;0;0;;0;;1800000;;;0;0;0;0;0;0;;;;;;;
